owners	n				
1	The Walt Disney Company	2		The Walt Disney Company	17
2	Blizzard Entertainment	1		Hitotsubashi Group	14
3	Alfred A. Knopf	1		other	72
4	American Greetings	2		total	103
5	Andrew Lloyd Webber	1			
6	Bandai Namco Entertainment	1			
7	Bandai Namco Entertainment	1			
8	Toei Animation	1			
9	Blizzard Entertainment	1			
10	Warner Bros	1			
11	Capcom	2			
12	Cartoon Network	1			
13	CBS Corporation Paramount Pictures	1			
14	DC Entertainment	3			
15	DHX Media	1			
16	Egmont Group Mattel	1			
17	Froebel-kan	1			
18	GungHo Online	1			
19	Hasbro	1			
20	Hasbro Takara Tomy	1			
21	Illumination Entertainment Universal Pictures (Comcast)	1			
22	J. K. Rowling (books) Warner Bros. (AT&T) (films)	1			
23	Khara[dc][279][280]	1			
24	King (Activision Blizzard)	1			
25	Kodansha Toei Animation	1			
26	Kumamoto Prefecture	1			
27	Level-5  Nintendo	1			
28	"Little, Brown and Company Summit Entertainment"	1			
29	Lucasfilm (The Walt Disney Company)	1			
30	Marvel Entertainment (The Walt Disney Company)	2			
31	Marvel Entertainment (The Walt Disney Company) (franchise) Sony (films)	1			
32	Mattel	1			
33	Metro-Goldwyn-Mayer	1			
34	Microsoft	1			
35	Microsoft Studios	1			
36	Mixi	1			
37	NetEase	1			
38	Nexon Tencent	1			
39	Nickelodeon (Viacom)	2			
40	Nintendo	2			
41	"Nintendo (trademark) The Pokémon Company (Nintendo, Game Freak, Creatures) (copyright)"	1			
42	Paramount Pictures (Viacom)	1			
43	Random House WarnerMedia (AT&T)	1			
44	Rockstar Games (Take-Two Interactive)	1			
45	Rovio	1			
46	Sanrio	1			
47	Scholastic Corporation Lionsgate	1			
48	Sega (Sega Sammy Holdings)	1			
49	Shogakukan (Hitotsubashi Group)	1			
50	Shogakukan (Hitotsubashi Group) TMS Entertainment (Sega Sammy Holdings)	1			
51	Shogakukan-Shueisha (Hitotsubashi Group)	1			
52	Shueisha (Hitotsubashi Group)	5			
53	Shueisha (Hitotsubashi Group)  Toei Animation  Bandai Namco (games)	1			
54	Shueisha (Hitotsubashi Group) (manga)  Toei Animation (anime) Sega Sammy Holdings (games/pachinko)	1			
55	Shueisha (Hitotsubashi Group) (manga) Bandai Namco (games)	1			
56	Shueisha (Hitotsubashi Group) Konami (games)	1			
57	Shueisha (Hitotsubashi Group) Pierrot	2			
58	Smilegate Tencent	1			
59	Sony	1			
60	Sony Music Entertainment Japan (Sony Corporation) DHX Media	1			
61	Square Enix	2			
62	Sunrise (Bandai Namco Holdings)	1			
63	Taito (Square Enix)	1			
64	Tencent	1			
65	The Muppets Studio (The Walt Disney Company) Sesame Workshop	1			
66	The Walt Disney Company	8			
67	The Walt Disney Company (franchise)  Sega Sammy Holdings (games/pachinko)	1			
68	Toei Company Asahi Broadcasting Corporation Asatsu-DK	1			
69	Toei Company Bandai Namco Holdings	1			
70	Toei Company Hasbro	1			
71	Tolkien Estate (books)  Warner Bros. (AT&T) (films)	1			
72	Tsuburaya Productions (Bandai Namco Holdings)	1			
73	Type-Moon (visual novel) Aniplex (Sony Music Entertainment Japan) (mobile game)	1			
74	Ubisoft	1			
75	Universal Pictures (Comcast)	2			
76	Viacom	2			
77	Walt Disney Studios (The Walt Disney Company) (franchise) Sony (Spider-Man films)	1			
78	Warner Bros. (AT&T)	3			
